Depth,Displacement,Start Frame,Amplitude,Amplitude Error,
100,30,1080,37.9,0.25,interesting blob detection error
100,20,540,,,
100,16,600,16.5,0.14,
100,12,720,13.7,0.12,
100,8,765,8.9,0.1,gap in data when pendulum still in hand
100,4,720,4.8,0.08,
90,30,660,,,good example
90,20,600,,,
90,16,480,15.3,0.15,strange graph missing start
90,12,570,12.9,0.14,NEEDS THRESHOLDING AT 70 NOT 50 but otherwise ok
90,8,,,,
90,4,,,,
80,30,,,,
80,20,,,,
80,16,,,,
80,12,,,,
80,8,,,,
80,4,,,,
70,30,,,,
70,20,,,,
70,16,,,,
70,12,,,,
70,8,,,,
70,4,,,,
60,30,,,,
60,20,,,,
60,16,,,,
60,12,,,,
60,8,,,,
60,4,,,,
50,30,,,,
50,20,,,,
50,16,,,,
50,12,,,,
50,8,,,,
50,4,,,,
40,20,,,,
40,16,,,,
40,12,,,,
40,8,,,,
40,4,,,,
